"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"24","phv1",10,837.365623330686,0,1,0.284093390271087,-408.682811665343,0.284093390271087
"26","pehv2",11,838.323913250218,0.958289919532376,0.619312702760983,0.175942645365318,-408.161956625109,0.460036035636405
"27","pehv3",11,838.57397581795,1.20835248726371,0.546524444253125,0.155263982233892,-408.286987908975,0.615300017870297
"28","pehv4",11,838.887829965542,1.52220663485616,0.467150727033161,0.132714433810454,-408.443914982771,0.748014451680751
"25","pehv1",14,839.210425481946,1.84480215125984,0.397563314571886,0.112945109884138,-405.605212740973,0.860959561564888
